trove_id,title,date,trove_url,fulltext_url,filename,status
234228804,BEEF BOOM IN TOMBSTONE TERRITORY,1968-10-01,https://trove.nla.gov.au/work/234228804,https://nla.gov.au/nla.obj-755657343,1968-10-01-beef-boom-in-tombstone-territory.md,written
170798823,From Prickly Pear to PETROLEUM,1963-07-01,https://trove.nla.gov.au/work/170798823,https://nla.gov.au/nla.obj-753903479,1963-07-01-from-prickly-pear-to-petroleum.md,written
237960463,WALKABOUT PROFILE,1969-05-01,https://trove.nla.gov.au/work/237960463,https://nla.gov.au/nla.obj-744601021,1969-05-01-walkabout-profile.md,written
234228924,BIRD WATCHING,1962-02-01,https://trove.nla.gov.au/work/234228924,https://nla.gov.au/nla.obj-755701384,1962-02-01-bird-watching.md,written
234190729,Christmas across a continent,1963-12-01,https://trove.nla.gov.au/work/234190729,https://nla.gov.au/nla.obj-754299301,1963-12-01-christmas-across-a-continent.md,written
234274855,THE BIKINIWHAT NEXT?,1968-01-01,https://trove.nla.gov.au/work/234274855,https://nla.gov.au/nla.obj-757696163,1968-01-01-the-bikiniwhat-next.md,written
233522212,MELBOURNE CUP WINNERS HORSES OR HATS?,1966-10-01,https://trove.nla.gov.au/work/233522212,https://nla.gov.au/nla.obj-746943926,1966-10-01-melbourne-cup-winners-horses-or-hats.md,written
234229062,ROUGH-RIDING FOR FIVE MINUTES A YEAR,1962-09-01,https://trove.nla.gov.au/work/234229062,https://nla.gov.au/nla.obj-755724925,1962-09-01-rough-riding-for-five-minutes-a-year.md,written
234230965,Epicurean Melbourne,1962-12-01,https://trove.nla.gov.au/work/234230965,https://nla.gov.au/nla.obj-755742391,1962-12-01-epicurean-melbourne.md,written
234231676,MELBOURNE’S EVERGREEN EXHIBITION,1964-05-01,https://trove.nla.gov.au/work/234231676,https://nla.gov.au/nla.obj-756035335,1964-05-01-melbourne-s-evergreen-exhibition.md,written
234228474,THE YEAR OF ANTI-FOOTBALL PROTEST,1968-04-01,https://trove.nla.gov.au/work/234228474,https://nla.gov.au/nla.obj-755512119,1968-04-01-the-year-of-anti-football-protest.md,written
234189257,REBIRTH OF PORTLAND,1963-07-01,https://trove.nla.gov.au/work/234189257,https://nla.gov.au/nla.obj-753902778,1963-07-01-rebirth-of-portland.md,written
234231514,ADVENTURES OF A WOULD-BE WINE SNOB,1964-12-01,https://trove.nla.gov.au/work/234231514,https://nla.gov.au/nla.obj-755916911,1964-12-01-adventures-of-a-would-be-wine-snob.md,written
234228985,PADDY’S MARKET TO LUXURY HOTEL,1962-07-01,https://trove.nla.gov.au/work/234228985,https://nla.gov.au/nla.obj-755713101,1962-07-01-paddy-s-market-to-luxury-hotel.md,written
233522620,1966 AND ALL THAT,1966-12-01,https://trove.nla.gov.au/work/233522620,https://nla.gov.au/nla.obj-747000705,1966-12-01-1966-and-all-that.md,written
234221132,BATTLE OF THE FLOWER,1965-05-01,https://trove.nla.gov.au/work/234221132,https://nla.gov.au/nla.obj-755149002,1965-05-01-battle-of-the-flower.md,written
237976284,FREEDOM OF BEACH,1963-01-01,https://trove.nla.gov.au/work/237976284,https://nla.gov.au/nla.obj-753891969,1963-01-01-freedom-of-beach.md,written
237848861,Advertising,1968-09-01,https://trove.nla.gov.au/work/237848861,https://nla.gov.au/nla.obj-755665690,1968-09-01-advertising.md,written
237848859,Advertising,1968-12-01,https://trove.nla.gov.au/work/237848859,https://nla.gov.au/nla.obj-757710620,1968-12-01-advertising.md,written
237842361,Advertising,1965-04-01,https://trove.nla.gov.au/work/237842361,https://nla.gov.au/nla.obj-755130128,1965-04-01-advertising.md,written
237842340,Advertising,1968-11-01,https://trove.nla.gov.au/work/237842340,https://nla.gov.au/nla.obj-755673680,1968-11-01-advertising.md,written
237838827,Advertising,1966-09-01,https://trove.nla.gov.au/work/237838827,https://nla.gov.au/nla.obj-746936824,1966-09-01-advertising.md,written
237848872,Advertising,1964-11-01,https://trove.nla.gov.au/work/237848872,https://nla.gov.au/nla.obj-755886381,1964-11-01-advertising.md,written
237848879,Advertising,1964-04-01,https://trove.nla.gov.au/work/237848879,https://nla.gov.au/nla.obj-755999737,1964-04-01-advertising.md,written
237840645,Advertising,1963-06-01,https://trove.nla.gov.au/work/237840645,https://nla.gov.au/nla.obj-753898181,1963-06-01-advertising.md,written
237848884,Advertising,1962-11-01,https://trove.nla.gov.au/work/237848884,https://nla.gov.au/nla.obj-755735561,1962-11-01-advertising.md,written
237848887,Advertising,1962-08-01,https://trove.nla.gov.au/work/237848887,https://nla.gov.au/nla.obj-755719377,1962-08-01-advertising.md,written
237840641,Advertising,1963-11-01,https://trove.nla.gov.au/work/237840641,https://nla.gov.au/nla.obj-754306732,1963-11-01-advertising.md,written
234184891,Walkabout,1970-01-01,https://trove.nla.gov.au/work/234184891,https://nla.gov.au/nla.obj-746077620,1970-01-01-walkabout.md,written
234228912,No title,1962-02-01,https://trove.nla.gov.au/work/234228912,https://nla.gov.au/nla.obj-755700957,1962-02-01-no-title.md,written
237891229,No title,1968-04-01,https://trove.nla.gov.au/work/237891229,https://nla.gov.au/nla.obj-755511862,1968-04-01-no-title.md,written
234274821,No title,1968-01-01,https://trove.nla.gov.au/work/234274821,https://nla.gov.au/nla.obj-757695087,1968-01-01-no-title.md,written
234231530,No title,1964-12-01,https://trove.nla.gov.au/work/234231530,https://nla.gov.au/nla.obj-755915994,1964-12-01-no-title.md,written
234274967,No title,1968-12-01,https://trove.nla.gov.au/work/234274967,https://nla.gov.au/nla.obj-757711021,1968-12-01-no-title.md,written
